_id,Id_barrio,Cod_barrio,Cod_comuna,Nombre,Area (ha),Perimetro (m),Estrato_moda
117,811,811,8,Las Americas,15.62,1730.4,3
118,812,812,8,Atanasio Girardot,29.27,2931.4,3
119,813,813,8,Santa Fe,30.52,2342.8,3
120,814,814,8,Chapinero,27.07,2536.9,3
121,815,815,8,Villacolombia,39.7,2651.7,3
122,816,816,8,El Trebol,22.5,2316.4,3
123,817,817,8,La Base,33.01,2396.9,3
124,818,818,8,Urbanización La Base,56.3,3258.9,3
125,901,901,9,Alameda,25.7,2330.9,3
126,902,902,9,Bretaña,38.39,3125.4,3
127,903,903,9,Junín,24.91,2075.2,3
128,904,904,9,Guayaquil,48.68,2838.9,3
129,905,905,9,Aranjuez,10.57,1832.7,3
130,906,906,9,Manuel Maria Buenaventura,10.97,1586.7,3
131,907,907,9,Santa Mónica Belalcázar,6.52,1079.2,3
132,908,908,9,Belalcázar,32.76,2456.4,3
133,909,909,9,Sucre,49.62,2921.9,1
134,910,910,9,Obrero,41.82,2659.7,2
135,1001,1001,10,El Dorado,15.45,1614.3,3
136,1002,1002,10,El Guabal,58.93,3856.3,3
137,1003,1003,10,La Libertad,6.97,1302.2,3
138,1004,1004,10,Santa Elena,41.02,3108.6,3
139,1005,1005,10,Las Acacias,10.07,1277.4,3
140,1006,1006,10,Santo Domingo,7.96,1167.6,3
141,1007,1007,10,Jorge Zawadsky,12.62,2004.5,3
142,1008,1008,10,Olímpico,22.47,1903.4,4
143,1009,1009,10,Cristobal Colón,51.99,4659,3
144,1010,1010,10,La Selva,23.78,2144,3
145,1011,1011,10,Departamental,31.97,2971.2,4
146,,,,"",,,
147,1013,1013,10,Panamericano,21.45,2282.5,3
148,1014,1014,10,Colseguros Andes,35.99,3431.1,4
149,1015,1015,10,San Cristobal,21.38,2182.6,3
150,1016,1016,10,Las Granjas,13.15,1713.5,3
151,1017,1017,10,San Judas Tadeo I,29.99,2230.2,3
152,1018,1018,10,San Judas Tadeo II,17.02,1705.6,3
153,1101,1101,11,San Carlos,30.71,2222.9,3
154,1102,1102,11,Maracaibo,4.67,866.3,3
155,1103,1103,11,La Independencia,31.31,2526.5,3
156,1104,1104,11,La Esperanza,5.1,905.2,3
157,1105,1105,11,Urbanización Boyaca,10.6,1425.1,3
158,1106,1106,11,El Jardín,43.95,3131.1,3
159,1107,1107,11,La Fortaleza,20.4,1842.7,3
160,1108,1108,11,El Recuerdo,8.54,1200.5,3
161,1109,1109,11,Aguablanca,23.38,2147.1,3
162,1110,1110,11,El Prado,10.2,1398.1,3
163,1111,1111,11,20 de Julio,9.22,1430.5,3
164,1112,1112,11,Prados de Oriente,28.29,2458.5,3
165,1113,1113,11,Los Sauces,32.91,2553.5,3
166,1114,1114,11,Villa del Sur,35.03,2489.8,3
167,1115,1115,11,José Holguín Garcés,11.73,1955.7,3
168,1116,1116,11,Leon XIII,10.29,1291.8,2
169,1117,1117,11,José María Córdoba,5.39,1268.1,3
170,1118,1118,11,San Pedro Claver,9.46,1276.8,2
171,1119,1119,11,Los Conquistadores,10.09,1268.8,2
172,1120,1120,11,La Gran Colombia,7.89,1309.3,2
173,1121,1121,11,San Benito,8.04,1361.6,2
174,1122,1122,11,Primavera,14.16,1576.3,2
175,1201,1201,12,Villanueva,13,2121.6,2
176,1202,1202,12,Asturias,13.8,1489.8,2
177,1203,1203,12,Eduardo Santos,10.32,1403.2,2
178,1204,1204,12,Alfonso Barberena A.,9.77,1346.3,2
179,1205,1205,12,El Paraiso,15.16,1731.7,3
180,1206,1206,12,Fenalco Kennedy,9.34,1533.2,3
181,1207,1207,12,Nueva Floresta,84.23,6208.9,3
182,1208,1208,12,Julio Rincon,7.34,1403.4,2
183,1209,1209,12,Doce de Octubre,14.63,1560,3
184,1210,1210,12,El Rodeo,34.6,2865.3,2
185,1211,1211,12,Sindical,16.72,2016.5,3
186,1212,1212,12,Bello Horizonte,4.03,869.8,3
187,1301,1301,13,Ulpiano Lloreda,24.96,2303.1,2
188,1302,1302,13,El Vergel,38.1,2469,1
189,1303,1303,13,El Poblado I,29.19,2210.5,2
190,1304,1304,13,El Poblado II,41.34,3093.1,2
191,1305,1305,13,Los Comuneros II,33.53,2616.1,2
192,1306,1306,13,Ricardo Balcazar,13.47,1554.4,2
193,1307,1307,13,Omar Torrijos,14.83,1613.2,2
194,1308,1308,13,El Diamante,39.36,2571.5,2
195,1309,1309,13,Lleras Restrepo,7.8,1255.1,2
196,1310,1310,13,Villa del Lago,19.52,2255.6,3
197,1311,1311,13,Los Robles,14.9,1740.4,2
198,1312,1312,13,Rodrigo Lara Bonilla,10.43,1414.7,2
199,1313,1313,13,Charco Azul,11.32,1590.3,1
200,1314,1314,13,Villablanca,7.38,1544.1,2
201,1315,1315,13,Calipso,16.85,1848,3
202,1390,1390,13,Yira Castro,7.8,1265.1,2
203,1393,1393,13,Lleras Restrepo II,11.47,3246.3,1
204,1394,1394,13,Marroquin III,10.4,1466.7,2
205,1395,1395,13,Los Lagos,27.32,2143.6,2
206,1397,1397,13,Sector Laguna del Pondaje,73.34,4879.3,1
207,1398,1398,13,El Pondaje,14.55,1774,2
208,1399,1399,13,Sector Asprosocial - Diamante,5.87,1541.9,2
209,1401,1401,14,Alfonso Bonilla Aragón,78.16,3820.8,1
210,1402,1402,14,Alirio Mora Beltran,38.08,2641.4,2
211,1403,1403,14,Manuela Beltran,76.61,3799.6,1
212,1404,1404,14,Las Orquideas,37.37,2605.5,1
213,1405,1405,14,Jose Manuel Marroquin II,51.73,4283.3,2
